"ID","Primary_Text","Analyzed_Word","Glosses","Translation","Comment","LGR"
"a109","Kelapa ambat odo.","kelapa	ambat	odo","coconut (BI)	source	DEM","The origin of the coconut.","","WORD_ALIGNED"
"a112","Kaduk tana, ye yom ye amban yom ambip mim tiip, ye go anon kadap.","kaduk	tana		ye	yom	ye	amban	yom	ambip	mimo	ti-ip		ye	=go	anon	kadap","person	child		3SG.M	and	3SG.M	wife	and	house	one	live-2/3PL		3SG.M	=PTC	dog	many","(Once, there was) a young man, he and his wife lived in a house, he had many dogs.","","WORD_ALIGNED"
"a113","Amkali bali winimo, bali wene wene awon ko.","amkali	bali	win-i	=mo		bali	wen-e	wen-e	awon	=ko","morning	hunting	go-INF	=always		hunting	go-SM	go-SM	pig	=PTC","He used to hunt in the morning, he hunted pigs.","","WORD_ALIGNED"
"a114","Bukan, ye bet a, ye aip mombe kemok balin.","bukan		ye	=bet	=a		ye	aip	momb-e	kem-ok	balin","not (BI)		3SG.M	=OBL	=LNK		3SG.M	there_is	shoot-SM	do-SBJV	NEG","No, not he himself, it was not him who shot (the game).","","WORD_ALIGNED"
"a437","Anon bet tomone anekombe kombanip e, ko,","anon	=bet	tomon-e	ane-komb-e	komb-an-ip	=e		ko","dog	=OBL	bite-SM	3SG.M.O-kill-SM	put:SG.O-IRR-2/3PL	=DS.SEQ		PTC","The dogs would bite and kill it, then ...","","WORD_ALIGNED"
"a4256","kane wene, mingge,","kan-e	wen-e		mingg-e","take:SG.O-SM	go-SM		cook-SM","bringing it back and cooking it ...","","WORD_ALIGNED"
"a4257","yom ko yi alop ananip e,","yom	=ko	yi	alop	an-an-ip	=e","meat	=PTC	3PL	two	eat-IRR-2/3PL	=DS.SEQ","the two of them (man and wife) would eat the meat and then ...","","WORD_ALIGNED"
"a4258","konokap ombet anon ko kayimo.","konokap	ombet	anon	=ko	ka-y-i	=mo","bone	OBL.DEM	dog	=PTC	give-PL.RCV-INF	=always","they always gave the bones to the dogs.","","WORD_ALIGNED"
"a116","Konokap ombet anon ko kayimo.","konokap	ombet	anon	=ko	ka-y-i	=mo","bone	OBL.DEM	dog	=PTC	give-PL.RCV-INF	=always","They always gave the bones to the dogs.","","WORD_ALIGNED"
"a117","""Aih moyon mok ah, kep ano tinim bet mombenepket a,""","aih	moyon	mok	ah		kep	ano	tinim	=bet	mombe-n-ep	=ket	=a","INTJ	INTJ	come_on	INTJ		2SG.M	arrow	bow	=OBL	shoot-SS-2SG-SS	=and_then.SS	=LNK","""Oh come on, you shoot it with your arrows and bow and then ...""","","WORD_ALIGNED"
"a438","""Ombet nup ko, ombet konokap kayimo bet a, ma nup bet wene anekombanup kot,""","ombet	nup	=ko		ombet	konokap	ka-y-i	=mo	=bet	=a		ma	nup	=bet	wen-e	ane-komb-an-up	=kot","OBL.DEM	1PL	=PTC		OBL.DEM	bone	give-PL.RCV-INF	=always	=OBL	=LNK		but	1PL	=OBL	go-SM	3SG.M.O-kill-IRR-1PL	=and_then.DS","""From all that, you always give us the bones, but we would go and kill it and ...""","","WORD_ALIGNED"
"a4597","""mit anekombanup kot,""","mit	ane-komb-an-up	=kot","easily	3SG.M.O-kill-IRR-1PL	=and_then.DS","""we can kill it easily and then ...""","","WORD_ALIGNED"
"a4598","""kep ko kane mene animo kemodep, ah!""","kep	=ko	kan-e	men-e	an-i	=mo	kemo-d-ep		ah","2SG.M	=PTC	take:SG.O-SM	come-SM	eat-INF	=always	do-DUR-2SG		INTJ","""you usually bring it home and eat it, oh!","","WORD_ALIGNED"
"a119","Engganipket, ko,","engga-n-ip	=ket		ko","say-SS-2/3PL	=and_then.DS		PTC","They thought like that and then ...","","WORD_ALIGNED"
"a120","Wene-mene nowan keli yamo, kedo kumunggon gi, ""Enggon!""","wen-e	men-e	nowan	kel-i	yamo		kedo	kumungg-on	=gi		enggon","go-SM	come-SM	NEG	become-INF	always		then	tell-3SG.M.PFV	=EMPH		friend","(From then on) they went and came back and got nothing (=no prey), so he told (his wife), ""Darling!""","","WORD_ALIGNED"
"a121","""Wananup ko, bomanup ko yo, awon aip balin gole.""","wan-an-up	=ko		bom-an-up	=ko	=yo		awon	aip	balin	gole","go-IRR-1PL	=PTC		walk-IRR-1PL	=PTC	=QUOT		pig	there_is	NEG	CONJ","""When we are going, we would take a walk only, because there are no pigs.""","","WORD_ALIGNED"
"a122","""Ne ya mo ipmone, kulungot wane, okemodip kole yo,""","ne	ya	=mo	ipmon-e		kulungot	wan-e		okemo-d-ip	kole	=yo","1SG	at	=always	snuffle-SM		growl	growl-SM		do_that-DUR-2/3PL	CONJ	=QUOT","""They (the dogs) were always snuffling and growling at me, so ...""","","WORD_ALIGNED"
"a3028","""wene wene teme golo, midikanon,""","wen-e	wen-e	tem-e	golo		midik-an-on","go-SM	go-SM	see-2SG.IMP	CONJ		get_dark-IRR-3SG.M.PFV","""when you wait (for me) until it gets dark,""","","WORD_ALIGNED"
"a439","""nowan, anon mo mananip, odep kole,""","nowan		anon	mo	man-an-ip		odep	kole","NEG		dog	only	come-IRR-2/3PL		CONJ	CONJ","""(and) there is no one else, only the dogs come home, it means ...""","","WORD_ALIGNED"
"a125","""anon bet a anekombe anip yo engge.""","anon	=bet	=a	ane-komb-e	an-ip	=yo	engg-e","dog	=OBL	=LNK	3SG.M.O-kill-SM	eat-2/3PL	=QUOT	say-2SG.IMP","""you just think that the dogs must have killed and eaten him.""","","WORD_ALIGNED"
"a4599","""Eih, yanam an.""","eih		yanam	=an","INTJ		true	=COP","(She replied:) ""Yes, alright.""","","WORD_ALIGNED"
"a4600","Okuneneget wenen.","okune-n-e	=get	wen-en","like_that-SS-3SG.M	=and_then.SS	go-3SG.M","He did like that and went off.","","WORD_ALIGNED"
"a440","Wenenip ko wene bekmun go wene, ""Ih midikon te"".","wene-n-ip	=ko	wen-e	bekm-un	=go	wen-e		ih	midik-on	=te","go-SS-2/3PL	=PTC	go-SM	wait-3SG.F	=PTC	go-SM		INTJ	get_dark-3SG.M	=PTC","They went and she waited until ""Oh, it became dark.""","","WORD_ALIGNED"
"a127","""Ah, anon kip ko, ma emba ede? Ih emba go nowan an.""","ah		anon	kip	=ko		ma	emba	ede		ih	emba	=go	nowan	=an","INTJ		dog	2PL	=PTC		but	father	where		INTJ	father	=PTC	NEG	=COP","""Oh, dogs, you are here, but where is father? Oh father is nowhere.""","","WORD_ALIGNED"
"a128","Tokot yibi wane, ong mo ""hmm hmm"" tanggale okembip.","tokot	yibi	wan-e		ong	mo	hmm	hmm	tanggal-e	okem-b-ip","empty	tail	wag-SM		tongue	just	INTJ	INTJ	put_out_tongue-SM	do_that-?-2/3PL","They just wagged their tails and stuck out of their tongues and made ""hmm hmm"", like that.","","WORD_ALIGNED"
"a4601","Ong mo, ""hmm hmm.""","ong	mo		hmm	hmm","tongue	just		INTJ	INTJ","The tongues just (did): ""hmm hmm.""","","WORD_ALIGNED"
"a129","""Aih, anon kip ko ede kede adep an ga, ih?""","aih		anon	kip	=ko	ede	kede	adep	=an	=ga		ihh","INTJ		dog	2PL	=PTC	DEM.this	how	how	=COP	=Q		INTJ","(She asked:) ""Oh, you dogs, what shall this mean?""","","WORD_ALIGNED"
"a130","Kot a, anggip e nakon go, nakon e kedo anon ko be wunuden.","kot	=a		angg-ip	=e	nak-on	=go		nak-on	=e		kedo	anon	=ko	b-e	wun-u-den","and_then.DS	=LNK		sleep-2/3PL	=DS.SEQ	day_break-3SG.M	=PTC		day_break-3SG.M	=DS.SEQ		then	dog	=PTC	take:PL.O-SM	go-3SG.F-PFV","So, they slept until the day broke and after the day broke, she took the dogs and went.","","WORD_ALIGNED"
"a4747","Be wenonu, wene wene wene,","b-e	weno-n-u		wen-e	wen-e	wen-e","take:PL.O	go-SS-3SG.F		go-SM	go-SM	go-SM","She took them and went on ...","","WORD_ALIGNED"
"a4748","""Kede bet an? Kede bet an?"" kemip ko,","kede	=bet	=an		kede	=bet	=an		kem-ip	=ko","where	=OBL	=COP		where	=OBL	=COP		do-2/3PL	=PTC","""Where is he? where is he?"", they did like that and ...","","WORD_ALIGNED"
"a131","anon ombet wenonip ko ok kebet.","anon	ombet	weno-n-ip	=ko	ok	kebet","dog	OBL.DEM	go-SS-2/3PL	=PTC	river	side","the dogs went to the side of a river.","","WORD_ALIGNED"
"a132","Anonipket, kodolok odo kane ok kalipten.","ano-n-ip	=ket		kodolok	odo	kan-e	ok	kal-ip-ten","eat-SS-2/3PL	=and_then.DS		head	DEM	take:SG.O-SM	river	throw:SG.O-2/3PL-PFV","They had eaten (him) and had thrown (his) head in to the river.","","WORD_ALIGNED"
"a4749","Ok kalipten got,","ok	kal-ip-ten	=get","river	throw:SG.O-2/3PL-PFV	=and_then.DS","They had thrown it into the river and then ...","","WORD_ALIGNED"
"a3319","wenenip wene, wene adi bet alonip, ok ani mo kelegadip.","wene-n-ip	wen-e		wen-e	adi	=bet	alo-n-ip		ok	ani	mo	kelega-d-ip","go-SS-2/3PL	go-SM		go-SM	up	=OBL	stand-SS-2/3PL		river	down	only	watch-DUR-2/3PL","they went on and just stood up there (on the land) and were watching the river beneath.","","WORD_ALIGNED"
"a4750","""Mok anon kip ko wani odo ok an, ah!""","mok	anon	kip	=ko	wani	odo	ok	=an		ah","INTJ	dog	2PL	=PTC	down_there	DEM	river	=COP		INTJ","""Come on, you dogs, down there is only the river!""","","WORD_ALIGNED"
"a134","""Aih mok kane ok wani kalipten"", engge wene temuden ge ""Eh! yanam an te!""","aih	mok	kan-e	ok	wani	kal-ip-ten		engg-e	wen-e	tem-u-den	=ge		Eh	yanam	=an	te","INTJ	INTJ	take:SG.O-SM	river	down_there	throw:SG.O-2/3PL-PFV		say-SM	go-SM	see-3SG.F-PFV	=PTC		INTJ	true	=COP	PTC","""Oh, maybe they have thrown him into the river!"", she thought and went to see, ""Oh, it is true!""","","WORD_ALIGNED"
